Fecha ,28 dias,1 an,3 an,5 an,10 an
10/11/2011,4.35,NA,NA,4.98,NA
17/11/2011,4.35,4.46,NA,NA,6.38
24/11/2011,4.32,NA,4.84,NA,NA
01/12/2011,4.39,NA,NA,NA,NA
08/12/2011,4.33,NA,NA,5.30,NA
15/12/2011,4.33,4.57,NA,NA,NA
22/12/2011,4.33,NA,5.00,NA,NA
29/12/2011,4.31,NA,NA,NA,6.46
05/01/2012,4.32,NA,NA,5.46,NA
12/01/2012,4.26,4.70,NA,NA,NA
19/01/2012,4.27,NA,5.01,NA,NA
26/01/2012,4.24,NA,NA,NA,NA
02/02/2012,4.24,NA,NA,5.00,NA
09/02/2012,4.34,4.60,NA,NA,NA
16/02/2012,4.36,NA,4.92,NA,NA
23/02/2012,4.35,NA,NA,NA,NA
01/03/2012,4.27,NA,NA,5.29,NA
08/03/2012,4.27,4.63,NA,NA,NA
15/03/2012,4.18,NA,4.99,NA,NA
22/03/2012,4.21,NA,NA,NA,NA
29/03/2012,4.28,NA,NA,5.29,NA
04/04/2012,4.25,4.57,NA,NA,NA
12/04/2012,4.26,NA,4.89,NA,NA
19/04/2012,4.33,NA,NA,NA,NA
26/04/2012,4.33,NA,NA,5.04,NA
03/05/2012,4.33,4.60,NA,NA,6.22
10/05/2012,4.34,NA,4.96,NA,NA
17/05/2012,4.42,NA,NA,NA,NA
24/05/2012,4.42,NA,NA,5.07,NA
31/05/2012,4.44,4.59,NA,NA,NA
07/06/2012,4.35,NA,4.72,NA,NA
14/06/2012,4.35,NA,NA,NA,5.94
21/06/2012,4.37,NA,NA,4.79,NA
28/06/2012,4.27,4.60,NA,NA,NA
05/07/2012,4.17,NA,4.71,NA,NA
12/07/2012,4.16,NA,NA,NA,NA
19/07/2012,4.15,NA,NA,NA,NA
26/07/2012,4.13,4.58,NA,NA,5.12
02/08/2012,4.09,NA,4.72,NA,NA
09/08/2012,4.09,NA,NA,NA,NA
16/08/2012,4.09,NA,NA,NA,NA
23/08/2012,4.23,4.58,NA,NA,NA
30/08/2012,4.15,NA,4.85,NA,NA
06/09/2012,4.17,NA,NA,NA,5.44
13/09/2012,4.23,NA,NA,NA,NA
20/09/2012,4.15,4.59,NA,NA,NA
27/09/2012,4.12,NA,4.85,NA,NA
04/10/2012,4.20,NA,NA,NA,NA
11/10/2012,4.17,NA,NA,4.93,NA
18/10/2012,4.23,4.63,NA,NA,5.35
25/10/2012,4.22,NA,4.95,NA,NA
01/11/2012,4.33,NA,NA,NA,NA
08/11/2012,4.26,NA,NA,5.20,NA
15/11/2012,4.31,4.76,NA,NA,NA
22/11/2012,4.28,NA,4.99,NA,NA
29/11/2012,4.25,NA,NA,NA,5.52
06/12/2012,4.23,NA,NA,5.05,NA
13/12/2012,4.14,4.61,NA,NA,NA
20/12/2012,3.93,NA,4.94,NA,NA
27/12/2012,3.91,NA,NA,NA,NA
03/01/2013,4.04,NA,NA,5.14,NA
10/01/2013,4.12,4.59,NA,NA,5.47
17/01/2013,4.12,NA,4.87,NA,NA
24/01/2013,4.26,NA,NA,NA,NA
31/01/2013,4.23,NA,NA,4.66,NA
07/02/2013,4.22,4.31,NA,NA,NA
14/02/2013,4.20,NA,4.51,NA,NA
21/02/2013,4.19,NA,NA,NA,5.03
28/02/2013,4.13,NA,NA,4.68,NA
07/03/2013,4.07,4.22,NA,NA,NA
